customer_id,name,transaction_id,customer_id,product_id,quantity,product_id,name,price
785,Eric Ramirez,708,785,1,7,1,visit,614.77
17,Sandra King,781,17,1,9,1,visit,614.77
239,Erin Doyle,2073,239,1,7,1,visit,614.77
616,James Jimenez,2531,616,1,3,1,visit,614.77
652,Kevin Smith,2867,652,1,8,1,visit,614.77
73,Connor Ferguson,2922,73,1,6,1,visit,614.77
723,Justin Rowe,3153,723,1,5,1,visit,614.77
374,Tina Rose,3685,374,1,10,1,visit,614.77
21,Jason Johnson,3756,21,1,5,1,visit,614.77
75,Jeff Lopez,3969,75,1,6,1,visit,614.77
1016,James Logan,4148,1016,1,10,1,visit,614.77
222,Kathleen Webb,6140,222,1,2,1,visit,614.77
489,Connor Thompson,6901,489,1,3,1,visit,614.77
23,Laura Camacho,7375,23,1,9,1,visit,614.77
133,Ricardo Anderson,7924,133,1,6,1,visit,614.77
602,Timothy Martin,8441,602,1,7,1,visit,614.77
876,Scott Howard,9215,876,1,5,1,visit,614.77
61,Jesse Swanson,10153,61,1,1,1,visit,614.77
1043,April Beasley,10459,1043,1,1,1,visit,614.77
766,Tyler Morgan,40,766,2,4,2,especially,269.70
1037,Vanessa Christian,1286,1037,2,9,2,especially,269.70
355,Brandon Mata,1544,355,2,6,2,especially,269.70
152,Kimberly Carpenter,1775,152,2,4,2,especially,269.70
381,Glenn Griffith,2133,381,2,4,2,especially,269.70
145,Michael Hubbard,3895,145,2,8,2,especially,269.70
867,Madeline Cox,5870,867,2,7,2,especially,269.70
259,Janice Mitchell,6120,259,2,4,2,especially,269.70
704,Christine Johnson,8821,704,2,8,2,especially,269.70
658,Pamela Ruiz,8912,658,2,1,2,especially,269.70
997,Cynthia Reynolds,8979,997,2,3,2,especially,269.70
1080,Alyssa Saunders,8980,1080,2,8,2,especially,269.70
47,Jonathan Cummings,10080,47,2,1,2,especially,269.70
1042,Miss Melissa Walker,10278,1042,2,9,2,especially,269.70
1066,Mark Johnson,10871,1066,2,9,2,especially,269.70
636,Sherry Bryant,437,636,3,6,3,billion,222.93
766,Tyler Morgan,1169,766,3,5,3,billion,222.93
296,Bryan Charles,1689,296,3,7,3,billion,222.93
695,James Shelton,3127,695,3,6,3,billion,222.93
805,Karina Archer,3600,805,3,2,3,billion,222.93
285,Vincent Chavez,3958,285,3,8,3,billion,222.93
627,Kelly Hobbs,4866,627,3,1,3,billion,222.93
27,Justin Martinez,5814,27,3,7,3,billion,222.93
427,Melissa Miller,5866,427,3,7,3,billion,222.93
452,Yesenia Murray,6273,452,3,6,3,billion,222.93
431,Mitchell Cantu,6617,431,3,6,3,billion,222.93
182,Gary Bradshaw,7035,182,3,3,3,billion,222.93
928,Jerry Mcdonald,7063,928,3,8,3,billion,222.93
60,Stephen Robinson,9081,60,3,4,3,billion,222.93
108,Vanessa Young,9101,108,3,8,3,billion,222.93
543,Justin Glover,10334,543,3,4,3,billion,222.93
327,Melissa Rhodes,10403,327,3,8,3,billion,222.93
227,Timothy Mason,10870,227,3,5,3,billion,222.93
1083,Eric Serrano,379,1083,4,8,4,poor,455.34
764,Michael Thompson,498,764,4,1,4,poor,455.34
39,Amy Brown,916,39,4,4,4,poor,455.34
585,Brittany Sutton,983,585,4,9,4,poor,455.34
1064,Christopher Best,1204,1064,4,3,4,poor,455.34
614,Jacob Welch,2235,614,4,4,4,poor,455.34
43,Regina Porter,3286,43,4,7,4,poor,455.34
287,Jennifer Sherman,4340,287,4,10,4,poor,455.34
281,David Reid DVM,4411,281,4,4,4,poor,455.34
1014,Jessica Wallace,4892,1014,4,7,4,poor,455.34
57,Corey Morales,5383,57,4,8,4,poor,455.34
1089,Ryan Wilson,6302,1089,4,7,4,poor,455.34
232,Timothy Weaver,6411,232,4,4,4,poor,455.34
275,Patricia Gutierrez,6746,275,4,7,4,poor,455.34
321,Mary Rios,6766,321,4,3,4,poor,455.34
550,Allison Williams,6914,550,4,7,4,poor,455.34
168,Brandi Knapp,7808,168,4,10,4,poor,455.34
457,Ryan Baker,8976,457,4,6,4,poor,455.34
729,Adam Jones,9177,729,4,3,4,poor,455.34
725,Angela Aguirre,10564,725,4,8,4,poor,455.34
8,Tammy Gonzalez,363,8,5,10,5,vote,502.69
88,Matthew Figueroa,766,88,5,2,5,vote,502.69
881,Susan Wright,1888,881,5,4,5,vote,502.69
954,Seth Lopez,2299,954,5,8,5,vote,502.69
484,Kimberly Mooney,2312,484,5,2,5,vote,502.69
965,Kenneth Taylor,3643,965,5,7,5,vote,502.69
283,Mrs. Vicki Johnson,3742,283,5,7,5,vote,502.69
59,Selena Lewis,3781,59,5,7,5,vote,502.69
473,Sean David,4610,473,5,10,5,vote,502.69
943,David Jefferson,4670,943,5,3,5,vote,502.69
579,David Barton,4825,579,5,1,5,vote,502.69
1011,Timothy Pacheco,5598,1011,5,10,5,vote,502.69
386,Dr. Rebecca Maddox,5608,386,5,6,5,vote,502.69
562,Makayla Allen,5952,562,5,4,5,vote,502.69
757,Donna Sanders,6226,757,5,7,5,vote,502.69
638,Morgan Griffith,8447,638,5,1,5,vote,502.69
1035,Jacob Burnett,8959,1035,5,7,5,vote,502.69
452,Yesenia Murray,10079,452,5,2,5,vote,502.69
1090,Alexander Bentley,10884,1090,5,5,5,vote,502.69
97,David Patterson Jr.,10982,97,5,1,5,vote,502.69
803,Michael Spencer,19,803,6,7,6,memory,954.31
950,Jamie Austin,702,950,6,4,6,memory,954.31
85,Peter Bowen,890,85,6,8,6,memory,954.31
893,Robert Cooke,1774,893,6,10,6,memory,954.31
728,Christopher Perez,2144,728,6,2,6,memory,954.31
548,Nathan Avila,2589,548,6,7,6,memory,954.31
628,Marc Donovan,2769,628,6,1,6,memory,954.31
626,Christopher Hernandez,3649,626,6,5,6,memory,954.31
217,Todd Brown,3805,217,6,8,6,memory,954.31
1076,Nicholas Lindsey,4232,1076,6,7,6,memory,954.31
904,Andre Martin,5176,904,6,2,6,memory,954.31
307,Michael Newton,5329,307,6,3,6,memory,954.31
431,Mitchell Cantu,5369,431,6,3,6,memory,954.31
924,Melissa Robbins,5511,924,6,7,6,memory,954.31
1003,Donna Davis,5954,1003,6,8,6,memory,954.31
248,Jason Shah,6505,248,6,8,6,memory,954.31
608,Nathaniel George,6640,608,6,7,6,memory,954.31
577,Kent Flores,6721,577,6,10,6,memory,954.31
260,Brian Williams,6839,260,6,5,6,memory,954.31
685,William Lopez,8004,685,6,8,6,memory,954.31
748,Nicholas Hall,8108,748,6,4,6,memory,954.31
204,Haley Hammond,8400,204,6,9,6,memory,954.31
1009,Michael Estrada,8732,1009,6,8,6,memory,954.31
125,Allen Rose,9422,125,6,5,6,memory,954.31
414,Robert Garcia,9929,414,6,1,6,memory,954.31
67,Christina Lopez,10245,67,6,5,6,memory,954.31
1027,Regina Brown,10316,1027,6,6,6,memory,954.31
434,James Ayala,10711,434,6,4,6,memory,954.31
4,Mr. David Garcia,386,4,7,4,7,develop,664.78
908,Jennifer May,1732,908,7,2,7,develop,664.78
108,Vanessa Young,1758,108,7,10,7,develop,664.78
1089,Ryan Wilson,1913,1089,7,5,7,develop,664.78
271,Todd Salinas,2127,271,7,6,7,develop,664.78
1029,Dustin Mitchell,2677,1029,7,9,7,develop,664.78
206,Joshua Ortiz,3604,206,7,3,7,develop,664.78
577,Kent Flores,4438,577,7,4,7,develop,664.78
15,Ashley Johnson,4788,15,7,3,7,develop,664.78
773,Tammy Potts,4980,773,7,4,7,develop,664.78
63,Michael Barr,5776,63,7,1,7,develop,664.78
795,Cynthia Rios,7025,795,7,4,7,develop,664.78
223,Ashley Bullock,7217,223,7,9,7,develop,664.78
75,Jeff Lopez,8470,75,7,4,7,develop,664.78
80,Julie Lopez,8513,80,7,1,7,develop,664.78
535,Johnathan Morris,8609,535,7,10,7,develop,664.78
489,Connor Thompson,10133,489,7,7,7,develop,664.78
321,Mary Rios,10217,321,7,5,7,develop,664.78
599,Julia Phillips,10377,599,7,2,7,develop,664.78
790,Jessica Howell,10853,790,7,9,7,develop,664.78
577,Kent Flores,176,577,8,3,8,what,245.03
458,Kimberly Washington,483,458,8,1,8,what,245.03
171,Katie Guerra,1375,171,8,3,8,what,245.03
353,Kimberly Silva,1504,353,8,10,8,what,245.03
826,Jacob Gallagher,1583,826,8,9,8,what,245.03
204,Haley Hammond,2023,204,8,10,8,what,245.03
507,Tina Barrera,2403,507,8,1,8,what,245.03
559,Robert Sanchez,3087,559,8,10,8,what,245.03
